nTasks=40;
nThreads=211;
nCPUs=10;
nCores=24;
rh=[222.39093921258828 129.40383274282263 430.7389580957634 425.9030136494459 480.66571216140375 284.3054821314255 183.48776177021227 389.89546180450134 114.18127588544706 442.18122397318365 419.94788246844536 107.89797414159179 256.3164345354669 208.94968475089914 441.1214853591745 170.7120960073038 291.6469281449718 312.02387061160846 150.82110274291892 279.13849264578863 353.14822458827996 498.64761178890404 276.53169629027616 234.29279387922543 285.56327001749275 169.9309728269302 122.22731224749066 229.8217036433322 400.3878201539228 109.46085795879354 261.0459875423728 271.03750746128964 383.6170319415538 278.527956913721 155.6840900747981 184.99689162693852 470.1609255969356 178.84295644660438 260.0807816069512 301.86565676747495 414.666713239338 369.5907710173672 482.9948091278403 136.0281545475092 233.72785754007612 425.3827902105206 305.0103945225197 294.018845101749 163.98338934485062 319.44352262575933 420.62921037607066 474.219641975658 274.1183468655754 325.84903840601055 465.5016060251387 272.939089837257 199.75373109787176 174.08137238366567 367.2379553071152 330.7999187265392 401.7140050804395 218.621605427401 149.50596381565032 116.76439476203582 178.35788165410827 446.6688898513999 474.08279775112084 146.6179054648925 112.90694668475294 266.567621645279 489.09538101032297 424.22456445423904 162.40539139600133 242.36110836332898 117.48154798476618 302.228927921151 445.5108857693579 340.2769950739258 247.24516743514374 274.94081339282025 367.2876700127363 406.9902239500156 380.7596183453571 438.50882154314576 173.07807898491086 424.7134074280539 212.15926711095096 295.5163846179256 374.93743405871385 190.6648241384013 271.2213320806118 402.0342866653776 235.4910965932212 279.1965290593412 389.7347599550446 134.87969823849994 293.219176906902 363.5749422921744 106.41214254885654 260.5726550893667 391.7065743926978 486.2828297820039 295.04873553038647 197.30150895572285 126.11171922244947 105.31899201300652 475.092774939724 300.9598600638898 330.3435799635752 100.24606395134752 168.76358561843324 447.0820467960286 180.71204283413596 228.2553742578909 299.09238506603475 187.46925675132763 461.128033991133 250.7110838945618 291.78306413029844 367.52212909874527 264.5157784303061 101.18987597186356 423.8975863129989 335.61291171734604 267.63966025337106 382.9887831049109 398.50108889804005 139.65337559001622 354.6369827071533 423.8834073685134 208.41887152927794 432.77674402021324 446.8812529211079 340.45364356981315 437.8221085444136 209.35671460013873 323.1698833314652 252.4257003889968 148.24475346751643 211.17549746482388 386.44379223237473 383.1036133623292 377.4023713119259 169.6222218492081 291.4857742038197 253.3234630578321 138.45641844522967 421.20507363730815 225.18773045878163 386.3218729152882 274.9483956728279 393.05137652373134 438.1233889333575 274.8506989802321 498.5393362551001 387.43251436807964 314.58728644003315 310.04021569441437 404.28022886895354 313.4514065117182 179.8201400939723 151.49032633164535 417.69720600353656 393.4875541052314 119.3048518105801 257.7093122631577 372.0594399255746 417.7406192546667 128.24909037123416 423.93968819636603 458.9682641120446 114.83996800850575 227.12414439291024 188.7343491828693 162.42289047128074 169.52894546402982 117.75298475361006 312.9915437598738 488.56439429980736 465.65225431563897 311.91315154855397 493.789117936198 367.04335020396326 152.07542202958535 472.57379081644535 445.3219927193486 382.85910665516514 161.04245955174483 407.2642860293625 497.8712724640235 312.64634840469057 325.80911798353327 440.92193908098506 183.91262817161893 179.20227513936084 269.6379759861719 237.47385428937187 310.8090323077875 386.7894628322776 403.11584368558385 100.57106403220821 294.66713054333525 416.2349154873258 474.74593223250264 492.1519331909778 452.8588186398472 168.44102144222686 261.0316597150018 404.0699602499006 368.0699072631783 107.815941095861];
rc=[9923.305299801035 8753.930522210898 9380.791782795728 6216.687756735719 6878.199504410639 8961.664243703399 5724.755941477779 9707.669178741002 8850.677006341859 8543.043980535876];
CK=[
	[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
];
TH=[
	[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
